Ticker,Date,signals,short avg,long avg,short vol,long vol,positions
OCUL,2020-04-22,0,5.1,5.278,0.1697,0.261,0.0
OCUL,2020-04-23,0,4.895,5.12,0.1202,0.2564,0.0
OCUL,2020-04-24,0,4.855,5.002,0.0636,0.1619,0.0
OCUL,2020-04-27,1,5.045,5.02,0.2051,0.1796,1.0
OCUL,2020-04-28,1,5.675,5.208,0.6859,0.5504,0.0
OCUL,2020-04-29,1,6.16,5.444,0.0,0.6685,0.0
OCUL,2020-04-30,1,6.1,5.69,0.0849,0.5997,0.0
OCUL,2020-05-01,0,5.79,5.818,0.3536,0.4344,-1.0
OCUL,2020-05-04,0,5.625,5.922,0.1202,0.282,0.0
OCUL,2020-05-05,1,5.97,5.936,0.3677,0.298,1.0
OCUL,2020-05-06,1,6.34,5.994,0.1556,0.3717,0.0
OCUL,2020-05-07,1,6.465,6.082,0.0212,0.4324,0.0
OCUL,2020-05-08,1,6.62,6.326,0.198,0.3925,0.0
OCUL,2020-05-11,1,6.39,6.388,0.5233,0.2789,0.0
OCUL,2020-05-12,0,6.27,6.446,0.3536,0.2677,-1.0
OCUL,2020-05-13,1,6.67,6.52,0.2121,0.3159,1.0
OCUL,2020-05-14,1,6.48,6.452,0.4808,0.3602,0.0
OCUL,2020-05-15,0,6.295,6.39,0.2192,0.3181,-1.0
OCUL,2020-05-18,1,6.745,6.594,0.4172,0.3472,1.0
OCUL,2020-05-19,1,6.875,6.632,0.2333,0.3475,0.0
OCUL,2020-05-20,0,6.535,6.54,0.2475,0.3462,-1.0
OCUL,2020-05-21,0,6.395,6.598,0.0495,0.2805,0.0
OCUL,2020-05-22,0,6.335,6.556,0.1344,0.321,0.0
OCUL,2020-05-26,1,6.87,6.648,0.891,0.5066,1.0
OCUL,2020-05-27,1,7.16,6.67,0.4808,0.5123,0.0
OCUL,2020-05-28,1,6.895,6.792,0.1061,0.4923,0.0
OCUL,2020-05-29,1,7.005,6.914,0.0495,0.4543,0.0
OCUL,2020-06-01,0,7.03,7.07,0.0141,0.2553,-1.0
OCUL,2020-06-02,1,7.085,7.0,0.0919,0.1202,1.0
OCUL,2020-06-03,1,7.125,7.056,0.0354,0.0702,0.0
OCUL,2020-06-04,0,6.965,7.028,0.1909,0.1219,-1.0
OCUL,2020-06-05,0,6.99,7.05,0.2263,0.134,0.0
OCUL,2020-06-08,1,7.2,7.096,0.0707,0.1584,1.0
OCUL,2020-06-09,1,7.455,7.198,0.2899,0.3014,0.0
OCUL,2020-06-10,1,7.68,7.318,0.0283,0.3653,0.0
OCUL,2020-06-11,1,7.41,7.376,0.4101,0.282,0.0
OCUL,2020-06-12,0,7.23,7.414,0.1556,0.2555,-1.0
