Date,ticker,stock,holdings,cash,total,returns
2020-08-25,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-26,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-27,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-28,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-31,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-09-01,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-09-02,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-09-03,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-09-04,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-09-08,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-09-09,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-09-10,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-09-11,NGM,552.6,552.6,2516.85,3069.45,0.0
2019-01-02,EPD,0.0,0.0,3000.0,3000.0,
2019-01-03,EPD,0.0,0.0,3000.0,3000.0,0.0
2019-01-04,EPD,0.0,0.0,3000.0,3000.0,0.0
2019-01-07,EPD,0.0,0.0,3000.0,3000.0,0.0
2019-01-08,EPD,0.0,0.0,3000.0,3000.0,0.0
2019-01-09,EPD,0.0,0.0,3000.0,3000.0,0.0
2019-01-10,EPD,0.0,0.0,3000.0,3000.0,0.0
2019-01-11,EPD,0.0,0.0,3000.0,3000.0,0.0
2019-01-14,EPD,0.0,0.0,3000.0,3000.0,0.0
2019-01-15,EPD,0.0,0.0,3000.0,3000.0,0.0
2019-01-16,EPD,825.0,825.0,2175.0,3000.0,0.0
2019-01-17,EPD,824.4,824.4,2175.0,2999.4,-0.0002
2019-01-18,EPD,0.0,0.0,3007.5,3007.5,0.0027
2019-01-22,EPD,0.0,0.0,3007.5,3007.5,0.0
2019-01-23,EPD,0.0,0.0,3007.5,3007.5,0.0
2019-01-24,EPD,0.0,0.0,3007.5,3007.5,0.0
2019-01-25,EPD,0.0,0.0,3007.5,3007.5,0.0
2019-01-28,EPD,0.0,0.0,3007.5,3007.5,0.0
2019-01-29,EPD,832.5,832.5,2175.0,3007.5,0.0
2019-01-30,EPD,0.0,0.0,3001.5,3001.5,-0.002
2019-01-31,EPD,0.0,0.0,3001.5,3001.5,0.0
2019-02-01,EPD,0.0,0.0,3001.5,3001.5,0.0
2019-02-04,EPD,0.0,0.0,3001.5,3001.5,0.0
2019-02-05,EPD,0.0,0.0,3001.5,3001.5,0.0
2019-02-06,EPD,0.0,0.0,3001.5,3001.5,0.0
2019-02-07,EPD,0.0,0.0,3001.5,3001.5,0.0
